date,Daily samples collected for Testing,Daily samples reported as negative,Daily Samples Positive for COVID-19,People in Oberservation,People discharged
14-Apr-20,579,460,6,,
15-Apr-20,60,80,0,1345,
16-Apr-20,92,50,0,1657,
17-Apr-20,131,19,0,1877,
18-Apr-20,33,86,1,2221,
19-Apr-20,48,71,4,2572,
20-Apr-20,125,103,3,2935,
21-Apr-20,75,46,1,3049,
22-Apr-20,64,55,0,4030,
23-Apr-20,170,26,5,4681,
24-Apr-20,10,112,6,10219,
25-Apr-20,96,45,7,12029,
26-Apr-20,160,43,8,12406,
27-Apr-20,278,175,10,13246,
28-Apr-20,293,190,4,14066,
29-Apr-20,237,150,9,14115,45
30-Apr-20,195,141,12,14115,67
1-May-20,179,229,7,14115,110
2-May-20,172,207,5,42929,150
3-May-20,206,198,13,45247,340
4-May-20,244,182,9,45034,23
5-May-20,384,235,14,42564,260
6-May-20,344,321,4,37358,120
7-May-20,400,304,16,32647,110
8-May-20,482,471,7,30509,90
9-May-20,325,324,12,29962,89
10-May-20,617,437,12,26871,390
11-May-20,516,424,6,25971,13
12-May-20,572,656,16,23671,34
13-May-20,574,497,10,23089,26
14-May-20,585,558,8,20997,89
15-May-20,691,600,17,19658,156
16-May-20,1196,741,15,18598,110
17-May-20,1507,982,13,15189,110
18-May-20,2465,1351,19,13812,209
19-May-20,2780,1169,36,13413,78
20-May-20,3412,1532,44,13313,615
21-May-20,2788,1052,25,12413,791
22-May-20,2181,2004,6,13546,358
23-May-20,2093,1835,18,13617,748
24-May-20,2773,2725,10,14341,408
25-May-20,3279,3202,9,15864,563
26-May-20,2798,2750,18,18247,566
27-May-20,3836,3740,29,19407,566
28-May-20,3125,2974,26,21085,474
29-May-20,3815,3319,3,23284,271
30-May-20,2721,2639,9,23942,560
31-May-20,4827,4717,11,23943,200
1-Jun-20,4892,4733,11,24013,453
2-Jun-20,4752,4307,30,23871,256
3-Jun-20,4742,4406,24,24133,789
4-Jun-20,4832,4620,12,23238,1520
5-Jun-20,5168,4523,13,23238,1430
6-Jun-20,4295,3666,37,25684,1734
7-Jun-20,4613,4196,22,26197,2345
8-Jun-20,4971,4784,20,26394,1980
9-Jun-20,4758,4700,12,26197,1786
10-Jun-20,4546,4481,48,25865,1320
11-Jun-20,4160,4016,41,25399,2728
12-Jun-20,5068,4940,54,25432,3004
13-Jun-20,4284,4201,14,23776,2376
14-Jun-20,4938,4797,63,22474,2025
15-Jun-20,4645,4574,34,20700,2145
16-Jun-20,7195,7097,28,21383,1876
17-Jun-20,5351,5308,69,20331,2079
18-Jun-20,6300,6142,36,19688,616
19-Jun-20,5374,5228,55,18648,1521
20-Jun-20,6265,6122,99,22287,1406
21-Jun-20,6936,6681,149,23187,1369
22-Jun-20,8182,7952,67,23187,789
23-Jun-20,7516,7285,143,23604,786
24-Jun-20,12229,11604,138,24179,567
25-Jun-20,9670,9039,216,25667,442
26-Jun-20,10117,9851,130,26143,749
27-Jun-20,13581,13330,93,27325,0
28-Jun-20,9020,8169,101,25852,0
29-Jun-20,12694,12399,135,25091,491
30-Jun-20,10470,10239,115,23851,137
1-Jul-20,12411,12015,248,25860,172
2-Jul-20,15728,15274,141,28538,208
3-Jul-20,13358,12841,299,29239,353
4-Jul-20,11241,10807,187,30471,0
5-Jul-20,14812,13915,388,32239,8
6-Jul-20,15197,14719,267,34522,82
7-Jul-20,12268,11468,257,37733,155
8-Jul-20,13627,12797,515,36787,64
9-Jul-20,11862,11431,378,35632,248
10-Jul-20,11860,11017,239,41150,0
11-Jul-20,8779,8231,308,40477,0
12-Jul-20,7036,6397,161,42500,231
13-Jul-20,8249,7576,120,44160,0
14-Jul-20,8000,7502,204,46765,235
15-Jul-20,9835,9139,271,34231,178
16-Jul-20,10177,9529,308,35552,531
17-Jul-20,7451,6835,176,35946,454
18-Jul-20,5362,4738,213,35677,0
19-Jul-20,7936,7308,317,36373,642
20-Jul-20,7531,6794,204,35586,195
21-Jul-20,8709,8028,210,34657,373
22-Jul-20,10553,9862,337,34984,0
23-Jul-20,9833,9019,416,33930,138
24-Jul-20,12872,11988,453,34768,357
25-Jul-20,9204,8576,249,35605,258
26-Jul-20,10569,9813,322,37338,417
27-Jul-20,12709,11654,397,38909,406
28-Jul-20,14078,12343,442,39421,292
29-Jul-20,14733,13817,445,39954,100
30-Jul-20,13577,12547,918,41023,89
31-Jul-20,13835,12448,1267,35509,365
1-Aug-20,9689,8794,1105,42847,70
2-Aug-20,15588,14300,947,43625,721
3-Aug-20,16670,15185,1272,45258,900
4-Aug-20,16210,14470,1502,44950,1602
5-Aug-20,18307,16290,1696,82082,1261
6-Aug-20,17592,15294,1839,56341,90
7-Aug-20,16899,14649,1925,53803,347
8-Aug-20,15880,13742,1843,56927,876
